Id,tag
on,IN
set,NN
old,JJ
still,RB
bluebeard,VBZ
prints,NNS
cafes,JJ
sea,NN
dirty,NN
milk,NN
fierce,JJ
children,NNS
as,IN
shower,NN
recognized,VBN
slammed,VBD
stalls,NNS
bars,NNS
door,VBP
were,VBD
water,NN
his,PRP$
's,POS
abattoirs,NNS
in,IN
beavers,NNS
main,JJ
house,NN
looked,VBD
shut,VBN
by,IN
shelves,NNS
steamed,VBN
seal,VBP
up,RP
blood,NN
a,DT
child,NN
god,NN
at,IN
arms,NNS
built,VBN
brilliant,JJ
boats,NNS
coffees,NNS
under,IN
marvellous,JJ
circuses,NNS
pictures,VBZ
the,DT
window-panes,JJ
steeplecocks,NNS
moving,VBG
mourning,VBG
whirled,VBN
and,CC
towards,NNS
of,IN
blanched,VBN
great,JJ
square,JJ
street,NN
dragged,VBD
everywhere,RB
sudden,JJ
where,WRB
with,IN
village,NN
weathervanes,NNS
flowed,VBD
windows,NNS
running,VBG
